n,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,learner,seed,stop_quantile,round
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.009368093902829389,0.009436055058502433,,oracle_all_endpoints,0,0.4,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.0008732640874863917,0.001022895774388944,,completed_only,0,0.4,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.02687147467828105,0.029517995089949078,,static_initial,0,0.4,4
9,0.6666666666666666,,,0.3333333333333333,0.661270275210776,0.6972588234942679,0.03598854828349196,0.0,0.08133081882777567,0.10398491903540645,0.39999999999999997,oracle_all_endpoints,1,0.2,1
9,0.6666666666666666,,,0.3333333333333333,0.661270275210776,0.6972588234942679,0.03598854828349196,0.0,0.08550454263032754,0.11103973893791587,0.48333333333333334,completed_only,1,0.2,1
9,0.6666666666666666,,,0.3333333333333333,0.661270275210776,0.6972588234942679,0.03598854828349196,0.0,0.079830532428324,0.10188303308650495,0.48333333333333334,static_initial,1,0.2,1
20,0.9,,,0.1,0.658570025067598,0.6959505422883643,0.037380517220766296,0.0,0.06840667342686355,0.08209070003211227,0.10075187969924812,oracle_all_endpoints,1,0.2,2
20,0.7,,,0.3,0.658570025067598,0.6308396137875207,-0.02773041128007725,0.0,0.05106409613110683,0.07125867149274646,-0.30977443609022554,completed_only,1,0.2,2
20,0.85,,,0.15,0.658570025067598,0.6275871288243993,-0.03098289624319872,0.0,0.05283736709572932,0.06833228217121275,-0.21654135338345865,static_initial,1,0.2,2
8,0.125,,,0.875,0.6904689219537712,0.693043039895063,0.002574117941291809,0.0,0.03806075751934854,0.05883712707564955,0.9285714285714287,oracle_all_endpoints,1,0.2,3
8,0.25,,,0.75,0.6904689219537712,0.6953910482956687,0.0049221263418974814,0.0,0.043592873217209255,0.05912644388282727,0.9047619047619048,completed_only,1,0.2,3
8,0.125,,,0.875,0.6904689219537712,0.6910286751667721,0.0005597532130009464,0.0,0.06229062657248227,0.09627175138535901,0.6190476190476191,static_initial,1,0.2,3
7,0.14285714285714285,0.0,1.0,0.8571428571428571,0.67149373701328,0.6579488502695655,-0.013544886743714457,0.0658913977119957,0.06845508312505129,0.08578435240961203,-0.21428571428571433,oracle_all_endpoints,1,0.2,4
7,0.2857142857142857,0.0,1.0,0.7142857142857143,0.67149373701328,0.6533018783833048,-0.01819185862997519,0.0658913977119957,0.05741317830363284,0.082892967868634,-0.3571428571428572,completed_only,1,0.2,4
7,0.5714285714285714,0.0,1.0,0.42857142857142855,0.67149373701328,0.6584770205064876,-0.01301671650679237,0.0658913977119957,0.1161878369154754,0.14249405654760983,-0.14285714285714288,static_initial,1,0.2,4
9,0.6666666666666666,,,0.3333333333333333,0.661270275210776,0.6972588234942679,0.03598854828349196,0.0,0.08133081882777567,0.10398491903540645,0.39999999999999997,oracle_all_endpoints,1,0.3,1
9,0.6666666666666666,,,0.3333333333333333,0.661270275210776,0.6972588234942679,0.03598854828349196,0.0,0.08550454263032754,0.11103973893791587,0.48333333333333334,completed_only,1,0.3,1
9,0.7777777777777778,,,0.2222222222222222,0.661270275210776,0.7067609578204812,0.045490682609705235,0.0,0.079830532428324,0.10188303308650495,0.48333333333333334,static_initial,1,0.3,1
20,0.95,,,0.05,0.658570025067598,0.7207174072292262,0.062147382161628184,0.0,0.06840667342686355,0.08209070003211227,0.10075187969924812,oracle_all_endpoints,1,0.3,2
20,0.85,,,0.15,0.658570025067598,0.5954346532354801,-0.06313537183211793,0.0,0.05106409613110683,0.07125867149274646,-0.30977443609022554,completed_only,1,0.3,2
