n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.1,static_initial
44,1,0,0.045454545454545456,1.0,0.0,0.9545454545454546,0.666978193476638,0.6665096834977732,-0.00046850997886482837,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.15,completed_only
44,1,0,0.045454545454545456,1.0,0.0,0.9545454545454546,0.666978193476638,0.6664614267417258,-0.0005167667349121885,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.15,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.15,static_initial
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.2,completed_only
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.2,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.2,static_initial
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.25,completed_only
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.25,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.25,static_initial
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.3,completed_only
44,1,0,0.09090909090909091,1.0,0.0,0.9090909090909091,0.666978193476638,0.6675582094127354,0.0005800159360973556,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.3,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.3,static_initial
44,1,0,0.06818181818181818,1.0,0.0,0.9318181818181818,0.666978193476638,0.6661023466695517,-0.0008758468070863001,0.0,0.04899622034700684,0.06926502377406397,0.24766710163580655,1,0.35,completed_only
44,1,0,0.09090909090909091,1.0,0.0,0.9090909090909091,0.666978193476638,0.6675582094127354,0.0005800159360973556,0.0,0.048748258519987916,0.06936251438519846,0.3351315195107941,1,0.35,oracle_all_endpoints
44,1,0,0.0,1.0,0.0,1.0,0.666978193476638,0.666978193476638,0.0,0.0,0.041957939899449695,0.06067530306545707,,1,0.35,static_initial
