seed,stop_quantile,oracle_valuable_run_recall,completed_only_valuable_run_recall,delta_valuable_run_recall,oracle_valuable_false_stop_rate,completed_only_valuable_false_stop_rate,delta_valuable_false_stop_rate,oracle_stop_rate,completed_only_stop_rate,delta_stop_rate,oracle_endpoint_observation_rate,completed_only_endpoint_observation_rate,delta_endpoint_observation_rate,oracle_endpoint_selection_bias,completed_only_endpoint_selection_bias,delta_endpoint_selection_bias,oracle_simple_regret_batch,completed_only_simple_regret_batch,delta_simple_regret_batch,oracle_mae,completed_only_mae,delta_mae,oracle_rmse,completed_only_rmse,delta_rmse,oracle_spearman,completed_only_spearman,delta_spearman
2,0.6,0.0,1.0,1.0,1.0,0.0,-1.0,0.3076923076923077,0.28205128205128205,-0.02564102564102566,0.6923076923076923,0.717948717948718,0.02564102564102566,-0.003484277139508607,0.007635742277403601,0.011120019416912208,0.25537359275098326,0.0,-0.25537359275098326,0.0470663673858446,0.04723429151235027,0.00016792412650567384,0.08030034952814558,0.07998726221487096,-0.00031308731327461814,0.03975274635671427,0.0896301868257284,0.049877440469014135
3,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.06818181818181818,0.0,0.9318181818181818,0.9318181818181818,0.0,0.004898756076520461,0.004898756076520461,0.0,0.0,0.0,0.0,0.056827152858986055,0.057531477822215085,0.0007043249632290305,0.09194606238564963,0.09122544191021192,-0.0007206204754377082,0.16809749409312888,0.267784878015817,0.09968738392268814
3,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.1590909090909091,-0.022727272727272735,0.8181818181818182,0.8409090909090909,0.022727272727272707,0.007364633343495797,0.005814510351141444,-0.0015501229923543525,0.0,0.0,0.0,0.056827152858986055,0.0565477485622142,-0.0002794042967718541,0.09194606238564963,0.08927698977503014,-0.002669072610619494,0.16809749409312888,0.19394766098425575,0.025850166891126874
3,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.1590909090909091,-0.022727272727272735,0.8181818181818182,0.8409090909090909,0.022727272727272707,0.007364633343495797,0.005814510351141444,-0.0015501229923543525,0.0,0.0,0.0,0.056827152858986055,0.0565477485622142,-0.0002794042967718541,0.09194606238564963,0.08927698977503014,-0.002669072610619494,0.16809749409312888,0.19394766098425575,0.025850166891126874
3,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.1590909090909091,-0.022727272727272735,0.8181818181818182,0.8409090909090909,0.022727272727272707,0.007364633343495797,0.005814510351141444,-0.0015501229923543525,0.0,0.0,0.0,0.056827152858986055,0.0565477485622142,-0.0002794042967718541,0.09194606238564963,0.08927698977503014,-0.002669072610619494,0.16809749409312888,0.19394766098425575,0.025850166891126874
3,0.3,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.25,0.04545454545454544,0.7954545454545454,0.75,-0.045454545454545414,0.007496482145577521,0.010048016383433556,0.0025515342378560346,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
3,0.35,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.25,0.04545454545454544,0.7954545454545454,0.75,-0.045454545454545414,0.007496482145577521,0.010048016383433556,0.0025515342378560346,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
3,0.4,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.25,0.04545454545454544,0.7954545454545454,0.75,-0.045454545454545414,0.007496482145577521,0.010048016383433556,0.0025515342378560346,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
3,0.45,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.2727272727272727,0.06818181818181815,0.7954545454545454,0.7272727272727273,-0.06818181818181812,0.007496482145577521,0.01023476606122864,0.0027382839156511185,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
3,0.5,1.0,0.9,-0.09999999999999998,0.0,0.1,0.1,0.20454545454545456,0.2727272727272727,0.06818181818181815,0.7954545454545454,0.7272727272727273,-0.06818181818181812,0.007496482145577521,0.01023476606122864,0.0027382839156511185,0.0,0.0,0.0,0.056827152858986055,0.0573839117569924,0.0005567588980063473,0.09194606238564963,0.08860051217202602,-0.0033455502136236076,0.16809749409312888,0.18766364251348458,0.0195661484203557
